i,j,k,l,result
1,"('age',)",1,6,0.08619832375759195
1,"('bmi',)",1,6,0.0409371174863038
1,"('children',)",1,6,-0.009366139251385963
1,"('sex_female',)",1,6,-0.0059343865026528775
1,"('smoker_no',)",1,6,0.6732662703492575
1,"('region_northeast',)",1,6,-0.008588296165156217
1,"('region_northwest',)",1,6,-0.012107630894735655
1,"('region_southeast',)",1,6,-0.005298883403329624
1,"('region_southwest',)",1,6,-0.004932247160537528
2,"('age', 'bmi')",1,6,0.1241658860293865
2,"('age', 'children')",1,6,0.07310787592760237
2,"('age', 'sex_female')",1,6,0.08840959464881926
2,"('age', 'smoker_no')",1,6,0.7705185339775956
2,"('age', 'region_northeast')",1,6,0.08625420239943471
2,"('age', 'region_northwest')",1,6,0.0800544208456877
2,"('age', 'region_southeast')",1,6,0.0914142815909228
2,"('age', 'region_southwest')",1,6,0.08785957945146738
2,"('bmi', 'children')",1,6,0.03778362892592635
2,"('bmi', 'sex_female')",1,6,0.019740296905012777
2,"('bmi', 'smoker_no')",1,6,0.7946787688049157
2,"('bmi', 'region_northeast')",1,6,0.0366044207663192
2,"('bmi', 'region_northwest')",1,6,0.03271973558307151
2,"('bmi', 'region_southeast')",1,6,0.03610162241257231
2,"('bmi', 'region_southwest')",1,6,0.04463084427647346
2,"('children', 'sex_female')",1,6,-0.007259260642271892
2,"('children', 'smoker_no')",1,6,0.6736208865247961
2,"('children', 'region_northeast')",1,6,-0.009384959156956363
2,"('children', 'region_northwest')",1,6,-0.010697491025927652
2,"('children', 'region_southeast')",1,6,-0.008608654585537723
2,"('children', 'region_southwest')",1,6,-0.006049308737630987
2,"('sex_female', 'smoker_no')",1,6,0.6688513325388937
2,"('sex_female', 'region_northeast')",1,6,-0.013092175339241674
2,"('sex_female', 'region_northwest')",1,6,-0.007745186097649626
2,"('sex_female', 'region_southeast')",1,6,-0.009500611569659423
2,"('sex_female', 'region_southwest')",1,6,-0.0017671132583860771
2,"('smoker_no', 'region_northeast')",1,6,0.6800160001663598
2,"('smoker_no', 'region_northwest')",1,6,0.6667680460465114
2,"('smoker_no', 'region_southeast')",1,6,0.6796770545287041
2,"('smoker_no', 'region_southwest')",1,6,0.6728013168736787
