i,j,k,l,result
1,"('age',)",1,6,0.08619832375759173
1,"('bmi',)",1,6,0.0409371174863038
1,"('children',)",1,6,-0.009366139251385963
1,"('sex_female',)",1,6,-0.0059343865026528775
1,"('smoker_no',)",1,6,0.673266270349257
1,"('region_northeast',)",1,6,-0.008588296165156217
1,"('region_northwest',)",1,6,-0.012107630894735655
1,"('region_southeast',)",1,6,-0.005298883403329846
1,"('region_southwest',)",1,6,-0.004932247160537528
2,"('age', 'bmi')",1,6,0.12416588602938639
2,"('age', 'children')",1,6,0.07310787592760237
2,"('age', 'sex_female')",1,6,0.08840959464881926
2,"('age', 'smoker_no')",1,6,0.7705185339775957
2,"('age', 'region_northeast')",1,6,0.08625420239943471
2,"('age', 'region_northwest')",1,6,0.08005442084568759
2,"('age', 'region_southeast')",1,6,0.09141428159092291
2,"('age', 'region_southwest')",1,6,0.08785957945146705
2,"('bmi', 'children')",1,6,0.03778362892592657
2,"('bmi', 'sex_female')",1,6,0.01974029690501289
2,"('bmi', 'smoker_no')",1,6,0.7946787688049155
2,"('bmi', 'region_northeast')",1,6,0.03660442076631942
2,"('bmi', 'region_northwest')",1,6,0.03271973558307151
2,"('bmi', 'region_southeast')",1,6,0.03610162241257231
2,"('bmi', 'region_southwest')",1,6,0.04463084427647346
2,"('children', 'sex_female')",1,6,-0.007259260642271892
2,"('children', 'smoker_no')",1,6,0.6736208865247959
2,"('children', 'region_northeast')",1,6,-0.009384959156956363
2,"('children', 'region_northwest')",1,6,-0.010697491025927874
2,"('children', 'region_southeast')",1,6,-0.008608654585537723
2,"('children', 'region_southwest')",1,6,-0.006049308737630987
2,"('sex_female', 'smoker_no')",1,6,0.668851332538894
2,"('sex_female', 'region_northeast')",1,6,-0.013092175339241674
2,"('sex_female', 'region_northwest')",1,6,-0.007745186097649626
2,"('sex_female', 'region_southeast')",1,6,-0.009500611569659423
2,"('sex_female', 'region_southwest')",1,6,-0.0017671132583860771
2,"('smoker_no', 'region_northeast')",1,6,0.6800160001663594
2,"('smoker_no', 'region_northwest')",1,6,0.6667680460465111
2,"('smoker_no', 'region_southeast')",1,6,0.6796770545287036
2,"('smoker_no', 'region_southwest')",1,6,0.6728013168736786
2,"('region_northeast', 'region_northwest')",1,6,-0.012120640835109775
2,"('region_northeast', 'region_southeast')",1,6,-0.0053173480865502665
2,"('region_northeast', 'region_southwest')",1,6,-0.004849480390411776
2,"('region_northwest', 'region_southeast')",1,6,-0.007828850360328987
2,"('region_northwest', 'region_southwest')",1,6,-0.007910834024112079
2,"('region_southeast', 'region_southwest')",1,6,-0.004490338458278176
3,"('age', 'bmi', 'children')",1,6,0.107118023608619
3,"('age', 'bmi', 'sex_female')",1,6,0.10237861654196956
3,"('age', 'bmi', 'smoker_no')",1,6,0.8835395949332253
3,"('age', 'bmi', 'region_northeast')",1,6,0.12147363550558599
3,"('age', 'bmi', 'region_northwest')",1,6,0.11362077591233122
3,"('age', 'bmi', 'region_southeast')",1,6,0.12246335038810063
3,"('age', 'bmi', 'region_southwest')",1,6,0.1257629478280241
3,"('age', 'children', 'sex_female')",1,6,0.07123793662328759
3,"('age', 'children', 'smoker_no')",1,6,0.769564100863111
3,"('age', 'children', 'region_northeast')",1,6,0.07221973265836157
3,"('age', 'children', 'region_northwest')",1,6,0.0691720102685699
3,"('age', 'children', 'region_southeast')",1,6,0.076876464266173
3,"('age', 'children', 'region_southwest')",1,6,0.07450495846521776
3,"('age', 'sex_female', 'smoker_no')",1,6,0.7675232727752415
3,"('age', 'sex_female', 'region_northeast')",1,6,0.08339921871271938
3,"('age', 'sex_female', 'region_northwest')",1,6,0.08394512205306959
3,"('age', 'sex_female', 'region_southeast')",1,6,0.08648393274690569
3,"('age', 'sex_female', 'region_southwest')",1,6,0.09061701934295407
3,"('age', 'smoker_no', 'region_northeast')",1,6,0.7764702994764836
3,"('age', 'smoker_no', 'region_northwest')",1,6,0.76148478429712
3,"('age', 'smoker_no', 'region_southeast')",1,6,0.7745540381883352
3,"('age', 'smoker_no', 'region_southwest')",1,6,0.7691406089824704
3,"('age', 'region_northeast', 'region_northwest')",1,6,0.07968749175349121
3,"('age', 'region_northeast', 'region_southeast')",1,6,0.09140119644318778
3,"('age', 'region_northeast', 'region_southwest')",1,6,0.08880238847718203
3,"('age', 'region_northwest', 'region_southeast')",1,6,0.08666669311963004
3,"('age', 'region_northwest', 'region_southwest')",1,6,0.08386682282845503
3,"('age', 'region_southeast', 'region_southwest')",1,6,0.08903371866638254
3,"('bmi', 'children', 'sex_female')",1,6,0.01701295723497076
3,"('bmi', 'children', 'smoker_no')",1,6,0.7924610710804848
